QuickFacts Dec-03-2024 (1)
"Total accommodation and food services sales, 2017 ($1,000)","11,039,101","14,223,608","38,941,921","4,918,030","2,753,630","12,308,450","6,072,943"
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","32,073,432","34,620,864",NA,"13,241,698","6,459,937","22,877,074","21,411,934"
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","26,597,641","17,644,754","29,800,369","9,512,158","11,121,227","19,271,130","5,475,132"
"Total retail sales, 2017 ($1,000)","53,089,247","50,763,630","116,309,814","60,443,530","10,232,692","23,313,046","12,080,224"
"Total retail sales per capita, 2017","$22,952.00","$12,771.00","$13,785.00","$82,840.00","$22,444.00","$8,601.00","$17,552.00"
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022",27.4,31.3,41.1,27.2,28.2,34.1,30.6
"Median household income (in 2022 dollars), 2018-2022","$60,440.00","$76,244.00","$76,607.00","$116,068.00","$54,858.00","$71,673.00","$89,212.00"
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","$38,834.00","$43,527.00","$48,066.00","$77,616.00","$39,055.00","$45,840.00","$55,949.00"
"Persons in poverty, percent",19.6%,16.6%,17.2%,10.1%,20.0%,16.9%,17.5%
"Total employer establishments, 2022",X,X,X,X,X,X,X
"Total employment, 2022",X,X,X,X,X,X,X
"Total annual payroll, 2022 ($1,000)",X,X,X,X,X,X,X
"Total employment, percent change, 2021-2022",X,X,X,X,X,X,X
"Total nonemployer establishments, 2021",X,X,X,X,X,X,X
"All employer firms, Reference year 2017","55,378","99,177","205,592","22,311","17,541","50,497","15,358"
"Men-owned employer firms, Reference year 2017","32,405","58,993","131,584","11,229","9,885","30,205","9,110"
"Women-owned employer firms, Reference year 2017","10,556","20,761","45,114","4,941","3,664","10,807","2,316"
"Minority-owned employer firms, Reference year 2017","17,464","29,808","64,514","3,760","7,831","11,729","2,426"
"Nonminority-owned employer firms, Reference year 2017","31,672","61,447","125,877","15,322","7,499","33,170","10,036"
"Veteran-owned employer firms, Reference year 2017","3,127","3,210","5,506","1,113",636,"1,861",536
"Nonveteran-owned employer firms, Reference year 2017","45,861","88,853","185,582","17,937","15,099","42,885","11,997"
"Population per square mile, 2020","3,598.4","8,304.2","29,303.2","8,791.8","12,285.8","12,059.8","13,976.7"
"Population per square mile, 2010","3,501.5","8,092.3","27,012.4","7,250.9","11,135.9","11,841.8","12,792.7"
"Land area in square miles, 2020",640.44,469.49,300.45,83.83,36.00,227.73,48.34
"Land area in square miles, 2010",599.59,468.67,302.64,83.94,35.87,227.63,48.28
FIPS Code,"""4835000""","""0644000""","""3651000""","""5363000""","""1245000""","""1714000""","""2507000"""
,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,
,,,,,,,
Value Notes,,,,,,,
None,,,,,,,
,,,,,,,
Fact Notes,,,,,,,
(a),,,,,,,
(b),,,,,,,
(c),,,,,,,
,,,,,,,
Value Flags,,,,,,,
D,,,,,,,
F,,,,,,,
FN,,,,,,,
NA,,,,,,,
S,,,,,,,
X,,,,,,,
Z,,,,,,,
-,,,,,,,
N,,,,,,,
